id,label
margot-to-linus_0,fake
margot-to-linus_1,fake
margot-to-linus_2,fake
margot-to-linus_3,fake
margot-to-linus_4,fake
margot-to-linus_5,fake
margot-to-linus_6,fake
margot-to-linus_7,fake
margot-to-linus_8,fake
margot-to-linus_9,fake
margot-to-linus_10,fake
margot-to-linus_11,fake
margot-to-linus_12,fake
margot-to-linus_13,fake
margot-to-linus_14,fake
margot-to-linus_15,fake
margot-to-linus_16,fake
margot-to-linus_17,fake
margot-to-linus_18,fake
margot-to-linus_19,fake
margot-to-linus_20,fake
margot-to-linus_21,fake
margot-to-linus_22,fake
margot-to-linus_23,fake
margot-to-linus_24,fake
margot-to-linus_25,fake
margot-to-linus_26,fake
margot-to-linus_27,fake
margot-to-linus_28,fake
margot-to-linus_29,fake
margot-to-linus_30,fake
margot-to-linus_31,fake
margot-to-linus_32,fake
margot-to-linus_33,fake
margot-to-linus_34,fake
margot-to-linus_35,fake
margot-to-linus_36,fake
margot-to-linus_37,fake
margot-to-linus_38,fake
margot-to-linus_39,fake
margot-to-linus_40,fake
margot-to-linus_41,fake
margot-to-linus_42,fake
obama-to-linus_0,fake
obama-to-linus_1,fake
obama-to-linus_2,fake
obama-to-linus_3,fake
obama-to-linus_4,fake
obama-to-linus_5,fake
obama-to-linus_6,fake
obama-to-linus_7,fake
obama-to-linus_8,fake
obama-to-linus_9,fake
obama-to-linus_10,fake
obama-to-linus_11,fake
obama-to-linus_12,fake
obama-to-linus_13,fake
obama-to-linus_14,fake
obama-to-linus_15,fake
obama-to-linus_16,fake
obama-to-linus_17,fake
obama-to-linus_18,fake
obama-to-linus_19,fake
obama-to-linus_20,fake
obama-to-linus_21,fake
obama-to-linus_22,fake
obama-to-linus_23,fake
obama-to-linus_24,fake
obama-to-linus_25,fake
obama-to-linus_26,fake
obama-to-linus_27,fake
obama-to-linus_28,fake
obama-to-linus_29,fake
obama-to-linus_30,fake
obama-to-linus_31,fake
obama-to-linus_32,fake
obama-to-linus_33,fake
obama-to-linus_34,fake
obama-to-linus_35,fake
obama-to-linus_36,fake
obama-to-linus_37,fake
obama-to-linus_38,fake
obama-to-linus_39,fake
obama-to-linus_40,fake
obama-to-linus_41,fake
obama-to-linus_42,fake
obama-to-linus_43,fake
obama-to-linus_44,fake
obama-to-linus_45,fake
obama-to-linus_46,fake
obama-to-linus_47,fake
obama-to-linus_48,fake
obama-to-linus_49,fake
obama-to-linus_50,fake
obama-to-linus_51,fake
obama-to-linus_52,fake
obama-to-linus_53,fake
obama-to-linus_54,fake
obama-to-linus_55,fake
obama-to-linus_56,fake
obama-to-linus_57,fake
obama-to-linus_58,fake
obama-to-linus_59,fake
obama-to-linus_60,fake
obama-to-linus_61,fake
obama-to-linus_62,fake
obama-to-linus_63,fake
obama-to-linus_64,fake
obama-to-linus_65,fake
obama-to-linus_66,fake
obama-to-linus_67,fake
obama-to-linus_68,fake
obama-to-linus_69,fake
obama-to-linus_70,fake
obama-to-linus_71,fake
obama-to-linus_72,fake
obama-to-linus_73,fake
obama-to-linus_74,fake
obama-to-linus_75,fake
obama-to-linus_76,fake
obama-to-linus_77,fake
obama-to-linus_78,fake
obama-to-linus_79,fake
obama-to-linus_80,fake
obama-to-linus_81,fake
obama-to-linus_82,fake
obama-to-linus_83,fake
obama-to-linus_84,fake
obama-to-linus_85,fake
obama-to-linus_86,fake
obama-to-linus_87,fake
obama-to-linus_88,fake
obama-to-linus_89,fake
obama-to-linus_90,fake
